date,startup,vertical,subvertical,city,investors,round,amount,Remarks,month
2017-03-06,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,1.374,,3.0
2017-03-06,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,16.3964,,3.0
2017-03-07,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,91.6,,3.0
2017-03-07,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,Private Equity,91.6,,3.0
2017-03-07,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,9.16,,3.0
2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,0.2748,,3.0
2017-03-07,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,33.434,,3.0
2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,137.4,,3.0
2017-03-08,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,10.076,,3.0
2017-03-08,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,1.0992,,3.0
2017-03-08,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0,,3.0
2017-03-09,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,4.58,,3.0
2017-03-09,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,41.22,,3.0
2017-03-10,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,4.05788,,3.0
2017-03-10,iOrderFresh,ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,0.0,,3.0
2017-03-10,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,5.496,,3.0
2017-03-10,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.0,,3.0
2017-02-02,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,0.0,,2.0
2017-02-03,Stockroom.io,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,0.0,,2.0
2017-02-06,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,22.9,,2.0
2017-02-06,iManageMyHotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,0.0,,2.0
2017-02-07,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,4.122,,2.0
2017-02-07,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,91.6,,2.0
2017-02-08,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Earlsfield Capital,Seed Funding,9.16,,2.0
2017-02-08,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,10.992,,2.0
2017-02-08,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,503.8,,2.0
2017-02-08,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,0.0,,2.0
2017-02-08,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,0.3664,,2.0
